Precinct,Classification,Total Votes,Harris Votes,Trump Votes,Trump Percentage
7079,urban,388,226,162,41.75%
7028,urban,433,255,178,41.11%
5504,rural,363,189,174,47.93%
5008,urban,379,220,159,41.95%
5589,urban,83,32,51,61.45%
6487,rural,405,104,301,74.32%
5005,urban,387,252,135,34.88%
5011,urban,267,160,107,40.07%
4045,urban,83,46,37,44.58%
5323,urban,440,268,172,39.09%
5029,urban,232,127,105,45.26%
5324,rural,396,180,216,54.55%
6681,urban,65,21,44,67.69%
1354,urban,507,237,270,53.25%
5013,urban,416,252,164,39.42%
5405,rural,488,279,209,42.83%
1072,rural,99,22,77,77.78%
1067,rural,28,8,20,71.43%
7430,rural,338,143,195,57.69%
5412,rural,515,303,212,41.17%
3361,urban,186,91,95,51.08%
7366,rural,770,363,407,52.86%
1351,urban,383,200,183,47.78%
4028,urban,270,213,57,21.11%
5002,urban,460,304,156,33.91%
2025,urban,322,202,120,37.27%
5633,urban,211,125,86,40.76%
6031,urban,201,103,98,48.76%
4020,urban,260,167,93,35.77%
1007,urban,476,257,219,46.01%
4508,urban,482,336,146,30.29%
4309,urban,214,167,47,21.96%
7023,urban,245,138,107,43.67%
2046,urban,437,265,172,39.36%
4461,urban,248,180,68,27.42%
4011,urban,214,117,97,45.33%
5020,urban,203,116,87,42.86%
2606,urban,422,204,218,51.66%
2048,urban,417,183,234,56.12%
2063,urban,169,100,69,40.83%
4526,urban,404,262,142,35.15%
4030,urban,314,237,77,24.52%
1335,urban,199,86,113,56.78%
2746,urban,252,137,115,45.63%
7570,rural,425,179,246,57.88%
2047,urban,229,133,96,41.92%
2511,urban,178,98,80,44.94%
4548,urban,315,230,85,26.98%
2055,urban,408,144,264,64.71%
2666,rural,578,270,308,53.29%
2054,urban,388,156,232,59.79%
2065,rural,197,92,105,53.30%
2079,rural,46,6,40,86.96%
2087,urban,483,300,183,37.89%
5022,urban,306,216,90,29.41%
7003,urban,134,77,57,42.54%
1411,rural,356,140,216,60.67%
5015,urban,270,175,95,35.19%
4387,urban,426,269,157,36.85%
4566,urban,144,95,49,34.03%
5395,urban,65,36,29,44.62%
5612,rural,555,339,216,38.92%
1318,urban,264,118,146,55.30%
4543,urban,292,196,96,32.88%
5001,urban,228,154,74,32.46%
5030,urban,243,135,108,44.44%
4540,urban,169,122,47,27.81%
2013,urban,188,122,66,35.11%
7019,rural,333,134,199,59.76%
1330,urban,268,110,158,58.96%
5425,urban,456,241,215,47.15%
4069,urban,27,17,10,37.04%
3043,urban,188,105,83,44.15%
4528,urban,261,184,77,29.50%
4422,urban,406,212,194,47.78%
4000,urban,177,111,66,37.29%
2074,urban,349,179,170,48.71%
2009,urban,277,167,110,39.71%
7378,rural,270,114,156,57.78%
4504,urban,313,196,117,37.38%
1653,urban,270,161,109,40.37%
6738,urban,523,245,278,53.15%
6625,urban,174,78,96,55.17%
5635,urban,308,153,155,50.32%
6154,rural,374,154,220,58.82%
5501,rural,115,54,61,53.04%
2731,rural,417,123,294,70.50%
7007,urban,153,73,80,52.29%
3014,urban,255,115,140,54.90%
4417,urban,419,230,189,45.11%
4044,urban,511,319,192,37.57%
4034,urban,104,65,39,37.50%
4009,urban,175,103,72,41.14%
4414,urban,419,198,221,52.74%
6706,urban,223,133,90,40.36%
1008,urban,502,237,265,52.79%
4564,urban,467,311,156,33.40%
4623,urban,208,86,122,58.65%
3022,urban,387,178,209,54.01%
5625,urban,574,282,292,50.87%
7527,urban,163,100,63,38.65%
6492,urban,697,282,415,59.54%
6707,rural,230,102,128,55.65%
4018,urban,118,45,73,61.86%
5350,urban,492,272,220,44.72%
1602,urban,367,206,161,43.87%
2730,urban,416,229,187,44.95%
4021,urban,136,63,73,53.68%
5571,urban,305,166,139,45.57%
2015,urban,457,251,206,45.08%
3727,urban,174,57,117,67.24%
2007,urban,92,28,64,69.57%
3364,rural,158,59,99,62.66%
6016,urban,398,229,169,42.46%
5615,urban,68,36,32,47.06%
7507,urban,365,208,157,43.01%
4035,urban,229,148,81,35.37%
5560,urban,246,131,115,46.75%
3021,urban,355,151,204,57.46%
1645,urban,486,259,227,46.71%
1368,urban,279,143,136,48.75%
3363,urban,226,86,140,61.95%
5587,urban,471,248,223,47.35%
6017,urban,439,184,255,58.09%
4421,rural,389,197,192,49.36%
7332,urban,499,278,221,44.29%
4591,urban,49,38,11,22.45%
5563,urban,295,185,110,37.29%
6705,urban,92,57,35,38.04%
4027,urban,257,160,97,37.74%
2673,rural,20,4,16,80.00%
5330,rural,474,259,215,45.36%
2049,urban,225,102,123,54.67%
5624,urban,186,84,102,54.84%
5593,urban,305,140,165,54.10%
4012,urban,259,129,130,50.19%
4650,urban,328,222,106,32.32%
2480,urban,130,71,59,45.38%
2399,urban,314,168,146,46.50%
4420,rural,36,23,13,36.11%
4404,urban,499,297,202,40.48%
5620,urban,392,240,152,38.78%
5586,urban,202,120,82,40.59%
5582,urban,200,114,86,43.00%
6469,urban,486,218,268,55.14%
5545,urban,154,95,59,38.31%
2715,urban,303,152,151,49.83%
3000,urban,298,178,120,40.27%
7004,urban,141,63,78,55.32%
1328,urban,267,103,164,61.42%
5003,urban,34,20,14,41.18%
2080,rural,81,26,55,67.90%
6547,rural,289,123,166,57.44%
2036,urban,403,235,168,41.69%
1349,urban,298,142,156,52.35%
3705,rural,136,46,90,66.18%
2088,urban,221,119,102,46.15%
6431,urban,98,53,45,45.92%
1009,urban,211,72,139,65.88%
2384,rural,82,46,36,43.90%
5384,urban,266,171,95,35.71%
4463,urban,33,22,11,33.33%
3033,urban,27,18,9,33.33%
3009,urban,371,210,161,43.40%
4605,urban,159,100,59,37.11%
5597,urban,425,269,156,36.71%
4716,urban,301,185,116,38.54%
6741,rural,248,94,154,62.10%
1525,rural,203,97,106,52.22%
1518,rural,267,89,178,66.67%
1510,rural,55,15,40,72.73%
6497,rural,246,108,138,56.10%
6528,rural,227,91,136,59.91%
1668,urban,583,246,337,57.80%
1715,rural,88,29,59,67.05%
6509,rural,124,47,77,62.10%
1717,rural,122,48,74,60.66%
1012,rural,132,34,98,74.24%
6552,rural,111,41,70,63.06%
1550,rural,113,31,82,72.57%
1712,rural,274,111,163,59.49%
2060,rural,124,62,62,50.00%
7500,urban,266,136,130,48.87%
5530,rural,365,99,266,72.88%
7017,rural,162,62,100,61.73%
7024,rural,237,78,159,67.09%
5652,rural,139,24,115,82.73%
7039,rural,494,205,289,58.50%
7528,urban,348,204,144,41.38%
7015,urban,105,50,55,52.38%
7526,urban,114,64,50,43.86%
7056,urban,303,139,164,54.13%
5531,rural,83,34,49,59.04%
7625,rural,376,147,229,60.90%
1334,urban,219,88,131,59.82%
4007,urban,143,79,64,44.76%
7634,urban,157,60,97,61.78%
2077,urban,172,103,69,40.12%
4512,urban,399,250,149,37.34%
5037,rural,405,116,289,71.36%
7524,urban,234,136,98,41.88%
1606,rural,300,106,194,64.67%
1396,urban,515,251,264,51.26%
7652,rural,196,64,132,67.35%
1688,urban,133,58,75,56.39%
7417,urban,472,221,251,53.18%
1674,rural,154,66,88,57.14%
1719,rural,37,11,26,70.27%
5044,urban,284,151,133,46.83%
4010,urban,322,157,165,51.24%
5577,urban,164,83,81,49.39%
7352,rural,443,181,262,59.14%
6033,rural,368,193,175,47.55%
7034,urban,45,28,17,37.78%
4031,urban,39,26,13,33.33%
1702,urban,258,100,158,61.24%
7042,rural,273,113,160,58.61%
7715,urban,250,132,118,47.20%
6490,rural,344,149,195,56.69%
4505,urban,273,169,104,38.10%
1390,urban,630,308,322,51.11%
6004,rural,69,24,45,65.22%
1672,rural,484,192,292,60.33%
7037,urban,248,128,120,48.39%
4043,urban,106,56,50,47.17%
2371,rural,225,117,108,48.00%
4641,urban,40,11,29,72.50%
2023,urban,197,110,87,44.16%
7611,rural,402,145,257,63.93%
3003,urban,229,131,98,42.79%
4550,urban,142,84,58,40.85%
3764,urban,437,203,234,53.55%
1394,rural,333,102,231,69.37%
1660,urban,260,135,125,48.08%
1348,urban,336,162,174,51.79%
1356,urban,318,143,175,55.03%
7553,rural,738,196,542,73.44%
2056,rural,12,3,9,75.00%
2440,urban,104,37,67,64.42%
6036,rural,330,147,183,55.45%
7044,urban,83,33,50,60.24%
5547,rural,28,1,27,96.43%
7012,urban,465,247,218,46.88%
7601,rural,586,167,419,71.50%
5025,rural,408,133,275,67.40%
7665,urban,427,188,239,55.97%
4008,urban,136,87,49,36.03%
3391,urban,192,94,98,51.04%
3765,urban,264,161,103,39.02%
7723,urban,266,123,143,53.76%
7097,urban,260,161,99,38.08%
1341,urban,441,183,258,58.50%
